Code,Country,Year,Income,AgeAMI,IncomeAMI,RecordsAMI,SexAMI,YearAMI,Age_AAI,Records_AAI,Sex_AAI,Year_AAI,Year_AMC,Team_AMC,NOC_AMC,Age_AMC,Sex_AMC,Records_AMC,Income_AMC,Year_AAC,Team_AAC,NOC_AAC,Age_AAC,Sex_AAC,Records_AAC,Income_AAC,Income_AAI
AFG,Afghanistan,1988,L,14,H,1,F,1988,13,4,F,1988,1988,Argentina,ARG,18,F,1,UM,1988,Algeria,ALG,18,F,1,UM,LM
AFG,Afghanistan,1992,L,14,UM,2,F,1988,13,3,M,1988,1988,Argentina,ARG,21,M,2,UM,1988,Algeria,ALG,19,M,3,UM,LM
AFG,Afghanistan,1996,L,14,L,1,M,1988,14,15,F,1988,1988,Argentina,ARG,22,M,1,UM,1988,Algeria,ALG,20,F,2,UM,H
AFG,Afghanistan,2000,L,15,H,2,F,1988,14,2,F,1988,1988,Argentina,ARG,23,M,2,UM,1988,Algeria,ALG,21,M,5,UM,L
AFG,Afghanistan,2004,L,15,L,1,F,1988,14,17,F,1988,1988,Argentina,ARG,24,M,1,UM,1988,Algeria,ALG,22,M,2,UM,LM
AFG,Afghanistan,2008,L,15,UM,4,F,1988,14,9,F,1988,1988,Argentina,ARG,25,M,1,UM,1988,Algeria,ALG,23,M,7,UM,UM
AFG,Afghanistan,2012,L,16,H,2,F,1988,14,1,M,1988,1988,Argentina,ARG,26,M,3,UM,1988,Algeria,ALG,24,M,3,UM,L
AFG,Afghanistan,2016,L,16,L,2,F,1988,15,83,F,1988,1988,Argentina,ARG,27,M,1,UM,1988,Algeria,ALG,25,M,6,UM,H
ALB,Albania,1988,NA,16,UM,6,F,1988,15,14,F,1988,1988,Argentina,ARG,28,M,1,UM,1988,Algeria,ALG,26,M,2,UM,L
ALB,Albania,1992,LM,17,H,5,F,1988,15,8,F,1988,1988,Australia,AUS,18,F,1,H,1988,Algeria,ALG,27,M,5,UM,LM
ALB,Albania,1996,LM,17,L,2,F,1988,15,57,F,1988,1988,Australia,AUS,18,M,1,H,1988,Algeria,ALG,28,M,3,UM,UM
ALB,Albania,2000,LM,17,LM,1,F,1988,15,5,M,1988,1988,Australia,AUS,19,M,2,H,1988,Algeria,ALG,29,M,2,UM,H
ALB,Albania,2004,LM,17,UM,5,F,1988,15,1,M,1988,1988,Australia,AUS,20,M,2,H,1988,Algeria,ALG,31,M,1,UM,LM
ALB,Albania,2008,LM,17,H,2,M,1988,15,8,M,1988,1988,Australia,AUS,21,F,4,H,1988,Algeria,ALG,32,M,1,UM,UM
ALB,Albania,2012,UM,18,H,5,F,1988,16,101,F,1988,1988,Australia,AUS,21,M,1,H,1988,Algeria,ALG,34,M,1,UM,H
ALB,Albania,2016,UM,18,L,2,F,1988,16,16,F,1988,1988,Australia,AUS,22,M,4,H,1988,Algeria,ALG,35,M,1,UM,L
DZA,Algeria,1988,UM,18,LM,1,F,1988,16,20,F,1988,1988,Australia,AUS,23,F,2,H,1988,American Samoa,ASA,22,M,2,H,LM
DZA,Algeria,1992,LM,18,UM,8,F,1988,16,36,F,1988,1988,Australia,AUS,23,M,1,H,1988,American Samoa,ASA,24,M,1,H,UM
DZA,Algeria,1996,LM,18,H,5,M,1988,16,14,M,1988,1988,Australia,AUS,24,F,1,H,1988,American Samoa,ASA,28,M,1,H,H
DZA,Algeria,2000,LM,18,UM,3,M,1988,16,8,M,1988,1988,Australia,AUS,24,M,1,H,1988,American Samoa,ASA,29,M,1,H,L
DZA,Algeria,2004,LM,19,H,3,F,1988,16,10,M,1988,1988,Australia,AUS,25,F,5,H,1988,American Samoa,ASA,37,M,1,H,LM
DZA,Algeria,2008,UM,19,L,7,F,1988,16,2,M,1988,1988,Australia,AUS,25,M,1,H,1988,Andorra,AND,20,M,1,,UM
DZA,Algeria,2012,UM,19,UM,1,F,1988,17,86,F,1988,1988,Australia,AUS,26,F,3,H,1988,Andorra,AND,21,M,1,,H
DZA,Algeria,2016,UM,19,H,13,M,1988,17,40,F,1988,1988,Australia,AUS,28,F,2,H,1988,Andorra,AND,24,M,2,,L
ASM,American Samoa,1988,H,19,LM,4,M,1988,17,23,F,1988,1988,Australia,AUS,28,M,1,H,1988,Angola,ANG,13,F,1,LM,LM
ASM,American Samoa,1992,UM,19,UM,3,M,1988,17,42,F,1988,1988,Australia,AUS,29,F,1,H,1988,Angola,ANG,14,F,6,LM,UM
ASM,American Samoa,1996,UM,20,H,13,F,1988,17,30,M,1988,1988,Australia,AUS,31,F,1,H,1988,Angola,ANG,16,F,2,LM,H
ASM,American Samoa,2000,UM,20,L,4,F,1988,17,13,M,1988,1988,Australia,AUS,35,F,1,H,1988,Angola,ANG,16,M,2,LM,L
ASM,American Samoa,2004,UM,20,LM,4,F,1988,17,30,M,1988,1988,Austria,AUT,21,F,1,H,1988,Angola,ANG,17,M,4,LM,LM
ASM,American Samoa,2008,UM,20,UM,6,F,1988,17,6,M,1988,1988,Austria,AUT,21,M,2,H,1988,Angola,ANG,18,F,2,LM,UM
ASM,American Samoa,2012,UM,20,H,21,M,1988,18,81,F,1988,1988,Austria,AUT,22,M,2,H,1988,Angola,ANG,20,M,1,LM,H
ASM,American Samoa,2016,UM,20,L,1,M,1988,18,16,F,1988,1988,Austria,AUT,23,F,1,H,1988,Angola,ANG,21,M,1,LM,L
AND,Andorra,1988,NA,20,LM,6,M,1988,18,25,F,1988,1988,Austria,AUT,23,M,2,H,1988,Angola,ANG,22,M,3,LM,LM
AND,Andorra,1992,H,20,UM,7,M,1988,18,46,F,1988,1988,Austria,AUT,24,M,2,H,1988,Angola,ANG,23,M,2,LM,UM
AND,Andorra,1996,H,21,H,16,F,1988,18,76,M,1988,1988,Austria,AUT,25,M,2,H,1988,Angola,ANG,24,M,3,LM,H
AND,Andorra,2000,H,21,L,2,F,1988,18,20,M,1988,1988,Austria,AUT,28,M,1,H,1988,Angola,ANG,25,M,2,LM,L
AND,Andorra,2004,H,21,UM,7,F,1988,18,33,M,1988,1988,Belgium,BEL,32,M,1,H,1988,Angola,ANG,28,M,2,LM,LM
AND,Andorra,2008,H,21,H,35,M,1988,18,49,M,1988,1988,Belgium,BEL,34,M,1,H,1988,Angola,ANG,30,M,1,LM,UM
AND,Andorra,2012,H,21,L,5,M,1988,19,85,F,1988,1988,Brazil,BRA,19,M,2,LM,1988,Angola,ANG,37,M,1,LM,H
AND,Andorra,2016,H,21,LM,4,M,1988,19,20,F,1988,1988,Brazil,BRA,22,M,3,LM,1988,Antigua and Barbuda,ANT,16,M,1,UM,L
AGO,Angola,1988,LM,21,UM,11,M,1988,19,27,F,1988,1988,Brazil,BRA,24,M,8,LM,1988,Antigua and Barbuda,ANT,17,F,1,UM,LM
AGO,Angola,1992,LM,22,H,14,F,1988,19,45,F,1988,1988,Brazil,BRA,25,M,3,LM,1988,Antigua and Barbuda,ANT,20,M,2,UM,UM
AGO,Angola,1996,L,22,L,1,F,1988,19,167,M,1988,1988,Brazil,BRA,26,M,1,LM,1988,Antigua and Barbuda,ANT,21,M,2,UM,H
AGO,Angola,2000,L,22,LM,1,F,1988,19,48,M,1988,1988,Brazil,BRA,27,M,1,LM,1988,Antigua and Barbuda,ANT,22,M,2,UM,L
AGO,Angola,2004,LM,22,UM,11,F,1988,19,72,M,1988,1988,Brazil,BRA,28,M,3,LM,1988,Antigua and Barbuda,ANT,23,F,2,UM,LM
AGO,Angola,2008,LM,22,H,55,M,1988,19,70,M,1988,1988,Brazil,BRA,31,M,1,LM,1988,Antigua and Barbuda,ANT,23,M,3,UM,UM
AGO,Angola,2012,UM,22,L,1,M,1988,20,84,F,1988,1988,Brazil,BRA,42,M,1,LM,1988,Antigua and Barbuda,ANT,24,F,1,UM,H
AGO,Angola,2016,LM,22,LM,4,M,1988,20,22,F,1988,1988,Bulgaria,BUL,17,F,2,,1988,Antigua and Barbuda,ANT,24,M,4,UM,L
ATG,Antigua and Barbuda,1988,UM,22,UM,10,M,1988,20,31,F,1988,1988,Bulgaria,BUL,18,F,1,,1988,Antigua and Barbuda,ANT,25,M,2,UM,LM
ATG,Antigua and Barbuda,1992,UM,23,H,32,F,1988,20,37,F,1988,1988,Bulgaria,BUL,19,M,1,,1988,Antigua and Barbuda,ANT,26,M,2,UM,UM
ATG,Antigua and Barbuda,1996,UM,23,L,1,F,1988,20,237,M,1988,1988,Bulgaria,BUL,20,F,1,,1988,Antigua and Barbuda,ANT,29,M,3,UM,H
